0     7.7544e+00
10     7.6443e+00
100     8.8370e+00
110     8.2425e+00
120     7.8094e+00
130     7.6644e+00
140     7.7830e+00
150     8.0833e+00
160     8.4584e+00
170     8.8326e+00
180     9.1641e+00
190     9.4115e+00
20     7.7829e+00
200     9.4972e+00
210     9.2917e+00
220     8.7982e+00
230     8.2086e+00
240     7.7872e+00
250     7.6331e+00
260     7.7429e+00
270     8.0264e+00
280     8.3827e+00
290     8.7364e+00
30     8.0928e+00
300     9.0436e+00
310     9.2652e+00
320     9.3285e+00
330     9.1286e+00
340     8.6590e+00
350     8.1294e+00
360     7.7544e+00
40     8.4726e+00
50     8.8583e+00
60     9.1910e+00
70     9.4420e+00
80     9.5302e+00
90     9.3327e+00
