0    -158.456699987
100    -158.455359828
10    -158.456425421
110    -158.456273609
120    -158.456658183
130    -158.456387189
140    -158.455542524
150    -158.454369045
160    -158.453179739
170    -158.452271589
180    -158.451914354
190    -158.452194609
200    -158.452997188
20    -158.455577743
210    -158.454155150
220    -158.455352676
230    -158.456270963
240    -158.456654976
250    -158.456387236
260    -158.455535175
270    -158.454363210
280    -158.453172815
290    -158.452270701
300    -158.451921074
30    -158.454403625
310    -158.452208894
320    -158.453023891
330    -158.454193958
340    -158.455395460
350    -158.456316455
360    -158.456699987
40    -158.453205252
50    -158.452304792
60    -158.451952496
70    -158.452209843
80    -158.453016034
90    -158.454160964
