0    -158.456703658
100    -158.455578840
10    -158.456470791
110    -158.456375133
120    -158.456699048
130    -158.456470732
140    -158.455714190
150    -158.454614475
160    -158.453425239
170    -158.452495906
180    -158.452130453
190    -158.452452267
200    -158.453322694
20    -158.455699122
210    -158.454472193
220    -158.455586875
230    -158.456384030
240    -158.456703131
250    -158.456456844
260    -158.455683322
270    -158.454571975
280    -158.453382421
290    -158.452462542
300    -158.452129932
30    -158.454588186
310    -158.452476368
320    -158.453352963
330    -158.454482059
340    -158.455579048
350    -158.456375508
360    -158.456703658
40    -158.453392650
50    -158.452474772
60    -158.452134554
70    -158.452472281
80    -158.453345095
90    -158.454475826
