0    -158.456703414
100    -158.455571199
10    -158.456469982
110    -158.456371003
120    -158.456700683
130    -158.456472594
140    -158.455718632
150    -158.454618797
160    -158.453431790
170    -158.452495944
180    -158.452130303
190    -158.452450092
200    -158.453316964
20    -158.455703336
210    -158.454461925
220    -158.455578261
230    -158.456378204
240    -158.456697496
250    -158.456457452
260    -158.455684010
270    -158.454578825
280    -158.453390644
290    -158.452465220
300    -158.452130470
30    -158.454591027
310    -158.452472585
320    -158.453340039
330    -158.454479608
340    -158.455575502
350    -158.456373081
360    -158.456703414
40    -158.453397068
50    -158.452474980
60    -158.452134776
70    -158.452468360
80    -158.453338891
90    -158.454467528
