0    -158.456706640
100    -158.455584313
10    -158.456473912
110    -158.456378009
120    -158.456706423
130    -158.456478874
140    -158.455726280
150    -158.454643877
160    -158.453487035
170    -158.452591195
180    -158.452237557
190    -158.452538247
200    -158.453372562
20    -158.455706988
210    -158.454494593
220    -158.455596499
230    -158.456391557
240    -158.456707584
250    -158.456463695
260    -158.455699571
270    -158.454606171
280    -158.453447650
290    -158.452559868
300    -158.452237233
30    -158.454614861
310    -158.452560528
320    -158.453400086
330    -158.454501084
340    -158.455584904
350    -158.456379239
360    -158.456706640
40    -158.453452798
50    -158.452567436
60    -158.452237226
70    -158.452554445
80    -158.453389155
90    -158.454494342
